TITLE OF VIDEO,URL,TOPIC
AHURA MAZDA,https://www.youtube.com/watch?v=Dec-7IP3Oiw,AHURA MAZDA
ANGLES, ANGELS, AND CHANGE,https://www.youtube.com/watch?v=IVAezL3juB8,ANGELS
ANGELIC PETS,https://www.youtube.com/watch?v=fCTr6mfRj_M,ANIMALS
AQUARIUS,https://www.youtube.com/watch?v=rdrYqKLxFhM,ASTROLOGY & CONSTELLATIONS
VIRGO,https://www.youtube.com/watch?v=SAxaonQNYHA,ASTROLOGY & CONSTELLATIONS
LIBRA,https://www.youtube.com/watch?v=E0Jl3Y3tAGc,ASTROLOGY & CONSTELLATIONS
SCORPIO,https://www.youtube.com/watch?v=uj1eVn-3pDs,ASTROLOGY & CONSTELLATIONS
CAPRICORN,https://www.youtube.com/watch?v=j35Xprj7-Pc,ASTROLOGY & CONSTELLATIONS
PISCES THE FISH,https://www.youtube.com/watch?v=ErkqFriw3Qc,ASTROLOGY & CONSTELLATIONS
ARIES,https://www.youtube.com/watch?v=j-WzX4tH6Ps,ASTROLOGY & CONSTELLATIONS
TAURUS,https://www.youtube.com/watch?v=EWRl1Oh4Roo,ASTROLOGY & CONSTELLATIONS
SAGITTARIUS 1,https://www.youtube.com/watch?v=2wY3J1w7xu0,ASTROLOGY & CONSTELLATIONS
SAGITTARIUS 2,https://www.youtube.com/watch?v=YfDytFVlfg0,ASTROLOGY & CONSTELLATIONS
GEMINI,https://www.youtube.com/watch?v=e8ynE0CCVmI,ASTROLOGY & CONSTELLATIONS
LEO,https://www.youtube.com/watch?v=jc-SQX32kI0,ASTROLOGY & CONSTELLATIONS
CANCER,https://www.youtube.com/watch?v=7oq2LIfwH_c,ASTROLOGY & CONSTELLATIONS
ATOM AND EVE,https://www.youtube.com/watch?v=FJPgXl3DKuk,ATOM
THE CIRCLE,https://www.youtube.com/watch?v=EfotTbrG_LE,BHAGAVAD GITA
NATURE WILL NOURISH YOU,https://www.youtube.com/watch?v=wLRVyRQEu5s,BHAGAVAD GITA
RESULTS OF WHAT YOU DID,https://www.youtube.com/watch?v=Z7Cyxsawbp8,BHAGAVAD GITA
ETERNAL SELF,https://www.youtube.com/watch?v=bWcQPg7sGlY,BHAGAVAD GITA
BEGINNING,https://www.youtube.com/watch?v=olfRJyaEOJE,BHAGAVAD GITA
BLUE BLACK BOY,https://www.youtube.com/watch?v=mwLRBvuRyd4,BHAGAVAD GITA
MEDITATE ON ME,https://www.youtube.com/watch?v=XoaL12Qp998,BHAGAVAD GITA
NATURE COMPELS YOU TO ACT,https://www.youtube.com/watch?v=HECL-7iQ08E,BHAGAVAD GITA
THEY ACT TO BE SEEN,https://www.youtube.com/watch?v=vI8PttT7oGk,BHAGAVAD GITA
ABSENT FROM THE BODY IN OM,https://www.youtube.com/watch?v=kMTiyQ6KpiA,BHAGAVAD GITA
WATER LILY IS DRY,https://www.youtube.com/watch?v=F8EWssRNSf4,BHAGAVAD GITA
DON'T DO ANOTHERS DUTY,https://www.youtube.com/watch?v=Fw36Jx_mANg,BHAGAVAD GITA
MY FRIEND, MY ENEMY, MYSELF,https://www.youtube.com/watch?v=CE9uPRboDkQ,BHAGAVAD GITA
UNITY OF LIFE,https://www.youtube.com/watch?v=OK_7ormF6Y4,BHAGAVAD GITA
THIS IS NO TIME TO QUIT,https://www.youtube.com/watch?v=JoalgWySYOU,BHAGAVAD GITA
SELF CONTROL,https://www.youtube.com/watch?v=qQuTsQH2hRI,BHAGAVAD GITA
MEDITATION OF DEATH,https://www.youtube.com/watch?v=99mOkQ7C_EM,BHAGAVAD GITA
ETERNAL SECRET,https://www.youtube.com/watch?v=kknrb5bhjbI,BHAGAVAD GITA
CUP OF SOMA,https://www.youtube.com/watch?v=IpYWoCo95ag,BHAGAVAD GITA
ME PLUS ME EQUALS YOU,https://www.youtube.com/watch?v=zBQmIrBTu7k,BHAGAVAD GITA
BHAGAVAD GITA REVIEW,https://www.youtube.com/watch?v=Oitzm_KzIgs,BHAGAVAD GITA
BHAGWAN WAR,N/A,BHAGWAN RAJNEESH
BIBLE CONTRADICTIONS,https://www.youtube.com/watch?v=LBj1X7amsvQ,BIBLE
NUMEROLOGY AND THE BIBLE,https://www.youtube.com/watch?v=CWEaT3-bXFE,BIBLE
BIBLE MYTHS AND SYMBOLS,https://www.youtube.com/watch?v=26h63cYkFZI,BIBLE
BIBLICAL SYMBOLS,https://www.youtube.com/watch?v=26h63cYkFZI,BIBLE
BILL'S BIBLE HITS,https://www.youtube.com/watch?v=7d49OYUAxbY,BIBLE
WHO WROTE THIS STUFF,https://www.youtube.com/watch?v=M4ILUMxr7ys,BIBLE
BIBLE: THE WORD OF WHO ?,https://www.youtube.com/watch?v=s4lEuuJTKy0,BIBLE
UFO'S IN THE BIBLE,https://www.youtube.com/watch?v=Z3XqdYbHutg,BIBLE
BIBLE IS ALL ABOUT THE MIND,https://www.youtube.com/watch?v=fSRv7qFfZjs,BIBLE
BIBLE IS NOT A LITERAL BOOK,https://www.youtube.com/watch?v=tgLWIq8FygQ,BIBLE
IS THE BIBLE LOGICAL?,https://www.youtube.com/watch?v=xLbNojqyp5U,BIBLE
WHOSE FOOLING WHO,https://www.youtube.com/watch?v=Hl-4RN2YG30,BIBLE
MISUNDERSTOOD BIBLE,https://www.youtube.com/watch?v=ZQ_hUVjUEqo,BIBLE
WHAT THE BIBLE STORIES REALLY MEAN,https://www.youtube.com/watch?v=nHZiKqcIy4c,BIBLE
BIBLE AND THE BODY,https://www.youtube.com/watch?v=gFCKIjzN1ek,BIBLE
BIBLE AND COMMON SENSE,https://www.youtube.com/watch?v=-wnKtmahVGw,BIBLE
BIBLE WORD MEANINGS,https://www.youtube.com/watch?v=TEM-rXBh5_8,BIBLE
BIBLE: SHOULD YOU BOTHER WITH IT ?,https://www.youtube.com/watch?v=bHdCpZCTcps,BIBLE
A MATTER OF LOGIC,https://www.youtube.com/watch?v=zyscxkQbBlY,BIBLE
BIBLE IS GREEK TO ME,https://www.youtube.com/watch?v=3oJ9KrcLJP8,BIBLE
GROIN TO THE SKULL,https://www.youtube.com/watch?v=GmvUsITNYL0,BODY
PEGASUS IN THE HUMAN BODY,https://www.youtube.com/watch?v=KesaHtBO0j4,BODY
ELECTRO PERSON,https://www.youtube.com/watch?v=Cj0kOA7zkns,BODY ELECTRIC
BRAIN BIBLE AND UNIVERSE,https://www.youtube.com/watch?v=fJ1OZWa93ps,BRAIN
UNIVERSE WEB, WORLD WEB, BRAIN WEB,https://www.youtube.com/watch?v=vd14aqNt2jI,BRAIN
THIRD FLOOR TEMPLE BRAIN,https://www.youtube.com/watch?v=z8MfBcwS0a0,BRAIN
BIBLICAL TEMPLE IS THE BRAIN,https://www.youtube.com/watch?v=4Q2kzrozn-g,BRAIN
OUR PYRAMID CHAMBER,https://www.youtube.com/watch?v=vJGjco2XfGk,BRAIN
COMPUTER RAM IN THE BRAIN,https://www.youtube.com/watch?v=EZCR4wEbkeI,BRAIN
WORDS, BIBLE, AND BRAINS,https://www.youtube.com/watch?v=XmFYMlM-iUo,BRAIN
PRAISE THE LORD WITH BRAIN MUSIC,https://www.youtube.com/watch?v=7A9qVqyvgAo,BRAIN
BRAIN AND TWELVE,https://www.youtube.com/watch?v=7q3WfXn4mjs,BRAIN
DRUGS IN THE BIBLE & IN THE BRAIN,https://www.youtube.com/watch?v=Y-x2xW9UgKU,BRAIN
UNIVERSE BRAIN CONNECTION,https://www.youtube.com/watch?v=4U5iH06kHsk,BRAIN
REBUILDING OUR TEMPLE BRAIN,https://www.youtube.com/watch?v=J2NzZemg7AU,BRAIN
BRAIN: PEGASUS, MUSES, AND YOUR BRAIN,https://www.youtube.com/watch?v=RFJgZWBFk_A,BRAIN
UPSTAIRS IN THE BACK ROOM,https://www.youtube.com/watch?v=hHZfDeIhI84,BRAIN
HUNGER,https://www.youtube.com/watch?v=otOs5Mr2Mxc,BUDDHA
ANIMAL IN US,https://www.youtube.com/watch?v=J4vL05BKZvA,BUDDHA
WORLD OF TRANQUILITY,https://www.youtube.com/watch?v=YHydg3MdYFw,BUDDHA
WORLD OF HELL,https://www.youtube.com/watch?v=cZO8uVXoUXM,BUDDHA
RAPTURE MANY HAVE MISSED,https://www.youtube.com/watch?v=AQ_qEgI0XD0,BUDDHA
VOICE OF PEACE,https://www.youtube.com/watch?v=5Q2eA0Z4Awc,BUDDHA
TEN WORLDS OF THE MIND,https://www.youtube.com/watch?v=3k3CsY9Nk6g,BUDDHA
SUFFERING,https://www.youtube.com/watch?v=jCw8gkqJ_Uw,BUDDHA
HAPPINESS,https://www.youtube.com/watch?v=XbBwbWbHlYI,BUDDHA
ONENESS,https://www.youtube.com/watch?v=NpMdk9EwhBk,BUDDHA
PHILOSOPHY,https://www.youtube.com/watch?v=5RvYk2IzqV0,BUDDHA
OH MY MIND,https://www.youtube.com/watch?v=0hi65h37yz8,BUDDHA
WHICH ONE ARE YOU,https://www.youtube.com/watch?v=ErgVuFb2kZY,BUDDHA
WHEN DECENT PEOPLE GET HURT,https://www.youtube.com/watch?v=tCoF029ZPiI,BUDDHA
POOR MARY,https://www.youtube.com/watch?v=5Wz45nIoZ0M,BUDDHA
CHRISTIANITY FROM BUDDHISM,https://www.youtube.com/watch?v=6MaaPLPX7DI,BUDDHA
CAUSE AND EFFECT,https://www.youtube.com/watch?v=_EKUYMkF09U,BUDDHA
MIND OF THE KNIFE,https://www.youtube.com/watch?v=kT_bDQxa6_4,BUDDHA
I BELIEVE IN ME,https://www.youtube.com/watch?v=tWk9PMc9XYo,BUDDHA
TEACHINGS OF BUDDHA,https://www.youtube.com/watch?v=dzoyv7lBXuw,BUDDHA
THREE TRUTHS,https://www.youtube.com/watch?v=9ywBIh-5deY,BUDDHA
ZEN,https://www.youtube.com/watch?v=Z7DUMWYNRtw,BUDDHA
BREAKING THE CHAIN,https://www.youtube.com/watch?v=9N27KZMdP-k,BUDDHA
EAST VS WEST,https://www.youtube.com/watch?v=-DGYio-j570,BUDDHA
SEVEN CHAKRAS,https://www.youtube.com/watch?v=xzzf2jbtQC0,CHAKRAS
COLOR DOES NOT EXIST,https://www.youtube.com/watch?v=uUR7WJSeBMU,COLOR
THE COPTICS,https://www.youtube.com/watch?v=bQGWD-XtUfU,COPTICS
SEANCE THE WOMAN IN WHITE,https://www.youtube.com/watch?v=T45hWI1JJss,DEATH
LIFE AFTER DEATH,https://www.youtube.com/watch?v=7CF6HmZohXY,DEATH
DEATH, LIFE, AND LIGHT,https://www.youtube.com/watch?v=FPGdJkA3xYg,DEATH
TALKING WITH THE DEAD PART 1,https://www.youtube.com/watch?v=hwNZVisNPvI,DEATH
TALKING WITH THE DEAD PART 2,https://www.youtube.com/watch?v=hVOtFJIBz8A,DEATH
MANY DEAD BODIES, NO DEAD PEOPLE,https://www.youtube.com/watch?v=JaqIFFPdbJg,DEATH
COMMUNICATING WITH THE DEAD,https://www.youtube.com/watch?v=428yL0GPd0s,DEATH
AT DEATHS DOOR,https://www.youtube.com/watch?v=X9BZRG9mCtE,DEATH
LOOKING BEYOND,https://www.youtube.com/watch?v=_Lp7ta2SwJM,DEATH
DEATH AND TRANSFIGURATION,https://www.youtube.com/watch?v=SDNloTDPL6Q,DEATH
WHAT HAPPENS AT DEATH,https://www.youtube.com/watch?v=ETcdqhWRc0c,DEATH
DEATH: CONTACT WITH THE OTHER SIDE,https://www.youtube.com/watch?v=7DGxwLLCZ7I,DEATH
DYING AND SLEEPING ARE THE SAME,https://www.youtube.com/watch?v=qTXrykh5uGk,DEATH
HAIL SAINT DEVIL,https://www.youtube.com/watch?v=Nfo4nZKsrC4,DEVIL SATAN
CREATION OF THE DEVIL,https://www.youtube.com/watch?v=UGg2P0vo6A0,DEVIL SATAN
DEVILS, DEMONS, DUMMIES,https://www.youtube.com/watch?v=UxekbvNPiwQ,DEVIL SATAN
THE DEVIL MADE ME DO IT,https://www.youtube.com/watch?v=cmOZiNGyT3A,DEVIL SATAN
DEMIGODS AND DEMONS,https://www.youtube.com/watch?v=sb-oAykZmfk,DEVIL SATAN
IS THE OLD TESTAMENT GOD - SATAN PART 1,https://www.youtube.com/watch?v=62QNG71djpA,DEVIL SATAN
IS THE OLD TESTAMENT GOD - SATAN PART 2,https://www.youtube.com/watch?v=hmmEB40O96Y,DEVIL SATAN
SATAN AND THE MIND,https://www.youtube.com/watch?v=d1HDs2VwO7o,DEVIL SATAN
DNA: COSMIC INSTINCT DNA,https://www.youtube.com/watch?v=hUz_VDpkohQ,DNA
DNA: BIONIC GENE,https://www.youtube.com/watch?v=KTvvZN7oqi0,DNA
SWEET DREAMS AND THE NIGHT CRUSHER,https://www.youtube.com/watch?v=eq98tZJPPAE,DREAMS
DREAMING IN A PARALLEL PLACE,https://www.youtube.com/watch?v=mXKh_efQDtI,DREAMS
LIGHT FROM THE DESERT,https://www.youtube.com/watch?v=1CS3q-tCcwM,EAST
TAO OF THE ORIENT,https://www.youtube.com/watch?v=4eaxXhcHHLM,EASTERN
SECRETS OF THE NILE,https://www.youtube.com/watch?v=arYCMLhCNJ4,EGYPT
ELECTRIC SKY, BRAIN, AND YOU,https://www.youtube.com/watch?v=gp8D2rl2qUg,ELECTRO MAGNETIC
ELECTRO PERSON,https://www.youtube.com/watch?v=Cj0kOA7zkns,ELECTRO MAGNETIC
WE ARE ELECTRICAL APPLIANCES,https://www.youtube.com/watch?v=YGxjrzgTThU,ELECTRO MAGNETIC
GOD AND WE ARE ELECTRIC,https://www.youtube.com/watch?v=c12zLGyB7nA,ELECTRO MAGNETIC
THROWING THE SWITCH TURNS YOU ON,https://www.youtube.com/watch?v=XS7xyvuh0Us,ELECTRO MAGNETIC
EMERALD TABLET FEAR & THE EMERALD TABLET,https://www.youtube.com/watch?v=2fniluDzJlo,EMERALD TABLET
EMERALD TABLETS: ALIEN INVASION ?,https://www.youtube.com/watch?v=TKZkvAiHPsk,EMERALD TABLETS
EMERALD TABLETS UFO COMMANDER AND CHRIST,https://www.youtube.com/watch?v=LM9yezr4rBM,EMERALD TABLETS
EMERALD TABLETS THOTH AND JESUS,https://www.youtube.com/watch?v=nSH0ENv9l-A,EMERALD TABLETS
EMERALD TABLETS ALIEN WRITER,https://www.youtube.com/watch?v=WprX1gHlf54,EMERALD TABLETS
EMERALD TABLETS JESUS CLOSE ALIEN FRIEND,https://www.youtube.com/watch?v=EAN_gWGCJo0,EMERALD TABLETS
EMERALD TABLETS KHEM TO KABBALA,https://www.youtube.com/watch?v=uO5ejV8nX74,EMERALD TABLETS
EMERALD TABLETS HERMES,https://www.youtube.com/watch?v=J8D5TIxZEng,EMERALD TABLETS
EMERALD TABLETS IS JESUS AN ALIEN,https://www.youtube.com/watch?v=ibws6wkVCZ0,EMERALD TABLETS
EMERALD TABLETS THE ANCIENT AND THE ASTRO CHRIST,https://www.youtube.com/watch?v=6a2SW0L6zXg,EMERALD TABLETS
EMERALD TABLETS 64 TETRAHEDRON,https://www.youtube.com/watch?v=rQQ28RkExVY,EMERALD TABLETS
EMERALD TABLETS DARK BROTHERS,https://www.youtube.com/watch?v=hUe55SlsefA,EMERALD TABLETS
EXODUS HEAVY HANDED MOSES,https://www.youtube.com/watch?v=2sWQLKu8LeM,EXODUS
DEVIL WATER,https://www.youtube.com/watch?v=nZw2fsGJJeM,EXODUS
EXODUS MANNA COTTI,https://www.youtube.com/watch?v=PNyJBbDoNtg,EXODUS
EXODUS WATER FROM THE ROCK,https://www.youtube.com/watch?v=XBSpYlq-u10,EXODUS
EXODUS RULES AND REGULATIONS,https://www.youtube.com/watch?v=Ksg77JRpNkE,EXODUS
EXODUS PRIEST AND SEVEN DAUGHTERS,https://www.youtube.com/watch?v=0bW1WIwOr9Q,EXODUS
EXODUS THE BUSH TALKS AND ITS NOT GEORGE,https://www.youtube.com/watch?v=idigGUZsKq4,EXODUS
EXODUS ROD SPINE EQUALS SERPENT KUNDALINI,https://www.youtube.com/watch?v=VUV_Xtzz3CQ,EXODUS
EXODUS FROGS BLOOD AND HAIL,https://www.youtube.com/watch?v=yAKrv2pmn2E,EXODUS
EXODUS PASSOVER,https://www.youtube.com/watch?v=AROV1qg_UXY,EXODUS
EXODUS SLAUGHTER OF THE INNOCENTS,https://www.youtube.com/watch?v=HJFyFdeCb7g,EXODUS
EXODUS THE RED SEA YOUR ESCAPE ROUTE,https://www.youtube.com/watch?v=bz-PiAK450g,EXODUS
EXODUS DOORWAY TO FREEDOM,https://www.youtube.com/watch?v=RbsfAndFvWg,EXODUS
AARON'S ROD BUDS ALMONDS IN OUR BRAIN,https://www.youtube.com/watch?v=E6ZWaqnr4uM,EXODUS
EXODUS WHY GOD TRIED TO KILL MOSES,https://www.youtube.com/watch?v=3zdFYZH6IN8,EXODUS
GAY LIFE,https://www.youtube.com/watch?v=7vzPkZWEAxI,GAYS HOMOSEXUALS
HOMOSEXUALITY,https://www.youtube.com/watch?v=cqDst-Pv2F4,GAYS HOMOSEXUALS
GAYS, GOD, AND THE BIBLE,https://www.youtube.com/watch?v=A9ZGG4pf3BU,GAYS HOMOSEXUALS
GAY MARRIAGE KING JAMES & JESUS,https://www.youtube.com/watch?v=_t-1wWHwOLo,GAYS HOMOSEXUALS
GHOSTS,https://www.youtube.com/watch?v=gwdPdCSe60Q,GHOSTS
WHAT ABOUT GHOSTS,https://www.youtube.com/watch?v=Odvj6HQqDaQ,GHOSTS
GOD: A REASONABLE GOD,https://www.youtube.com/watch?v=kxC9Pew3jXw,GOD
IS THERE PROOF ?,https://www.youtube.com/watch?v=fbzRBj_KNFo,GOD
GOD IS NOT A NICE PERSON,https://www.youtube.com/watch?v=-dCo6MVEUUA,GOD
HEALING: RELIGIOUS AND NEW AGE HEALING,https://www.youtube.com/watch?v=Za3cwgE4k4Q,HEALING
HIDDEN MEANINGS,https://www.youtube.com/watch?v=cArsejMSqbU,HIDDEN MEANINGS
SO LONG CHARLES, A FRIEND OF HIDDEN MEANINGS LEAVES,https://www.youtube.com/watch?v=vEwIqzZDbUE,HIDDEN MEANINGS
HIDDEN MEANINGS HOW IT BEGAN,https://www.youtube.com/watch?v=jYp7VMe1SY0,HIDDEN MEANINGS
QUESTIONS FROM YOU TO ME,https://www.youtube.com/watch?v=8S0VtNwAssA,HIDDEN MEANINGS
ROUNDTABLE 1,https://www.youtube.com/watch?v=RoOCN04McL8,HIDDEN MEANINGS
ROUNDTABLE 2,https://www.youtube.com/watch?v=6MLR37A6vmM,HIDDEN MEANINGS
ROUNDTABLE 3,https://www.youtube.com/watch?v=xagDL6bi-uw,HIDDEN MEANINGS
PROVING THE MESSAGE,https://www.youtube.com/watch?v=swNS_xW4BYY,HIDDEN MEANINGS
MADE IN THE IMAGE OF MOM AND DAD,https://www.youtube.com/watch?v=U9IlpbXQQd0,HUMAN BEINGS
WHO IS PLAYING YOUR PART ?,https://www.youtube.com/watch?v=95ObERGK8iI,HUMAN BEINGS
WHO ARE WE REALLY,https://www.youtube.com/watch?v=athYDKrZiAM,HUMAN BEINGS
ALL ABOUT YOU AND ME,https://www.youtube.com/watch?v=RvbfMACqK8w,HUMAN BEINGS
ALLAH PART 1,https://www.youtube.com/watch?v=LjAq-oefTKw,ISLAM
ALLAH PART 2,https://www.youtube.com/watch?v=tQKacYNfIdk,ISLAM
UNDERSTANDING ALLAH,https://www.youtube.com/watch?v=xDI2gz0-E1g,ISLAM
JOSEPHS COAT OF MANY COLORS,https://www.youtube.com/watch?v=zP102uvVhiE,JOSEPH AND THE COAT OF MANY COLORS
JOSEPH JESUS AND THE SUN,https://www.youtube.com/watch?v=VIYxjAvQ4l0,JOSEPH AND THE COAT OF MANY COLORS
JOSEPHS COLOR COAT BUTLER AND BAKER,https://www.youtube.com/watch?v=ljc3HIpG5Rk,JOSEPH AND THE COAT OF MANY COLORS
JOSEPHS COAT: ONE SUN GOD,https://www.youtube.com/watch?v=VB1hnHNFbos,JOSEPH AND THE COAT OF MANY COLORS
JOSEPH BRING THE CHILD,https://www.youtube.com/watch?v=q6hDxLrdOfI,JOSEPH AND THE COAT OF MANY COLORS
JOSEPH SEX DRUGS AND THE SPOTTED COW,https://www.youtube.com/watch?v=NQXCn0CGyRg,JOSEPH AND THE COAT OF MANY COLORS
JOSEPH THE CHILD WILL NOT GO,https://www.youtube.com/watch?v=d47F3Fh57q4,JOSEPH AND THE COAT OF MANY COLORS
JOSEPH THE CHILD COMES FORTH,https://www.youtube.com/watch?v=yUtgWo1GRj4,JOSEPH AND THE COAT OF MANY COLORS
JOSEPH THE SILVER CUP,https://www.youtube.com/watch?v=nDfiKrE0u8s,JOSEPH AND THE COAT OF MANY COLORS
SEXUAL REPRESSION,https://www.youtube.com/watch?v=IdTXwiUWtVk,JUNG, CARL
KUNDALINI,https://www.youtube.com/watch?v=4CqxxIKiNII,KUNDALINI
SECRET SERPENT,https://www.youtube.com/watch?v=Hq57zm905OE,KUNDALINI
LAO TZU: QUIT MEDDLING,https://www.youtube.com/watch?v=cNXGufX5pDo,LAO TZU
LIFES PURPOSE AND WHY WE ARE HERE,https://www.youtube.com/watch?v=5nTqLU8yXJY,LIFE
WHAT IS LOVE ?,https://www.youtube.com/watch?v=GQXnSfPgXKA,LOVE
LAW OF LOVE,https://www.youtube.com/watch?v=Av9N0BuehPo,LOVE
MEDITATION,https://www.youtube.com/watch?v=c22ygxxfYVk,MEDITATION
COME TO THE GARDEN IN YOU,https://www.youtube.com/watch?v=JADZtZv4SWw,MEDITATION
MEDITATION AND WATCHERS OF LIGHT,https://www.youtube.com/watch?v=TaULJs2Uljs,MEDITATION
TOUCH THEM,https://www.youtube.com/watch?v=EiApJWFstxQ,MEDITATION
AN AUTOPSY ON YOU,https://www.youtube.com/watch?v=kh2QTnO0NG4,MIND
SHADOW KNOWS,https://www.youtube.com/watch?v=S6NDryX9IUc,MIND
FORCE WITHIN YOU,https://www.youtube.com/watch?v=k_O6zI3uORI,MIND
STRANGER UPSTAIRS,https://www.youtube.com/watch?v=wCY2uriWebw,MIND
CONSCIOUS NOTHING,https://www.youtube.com/watch?v=Yz_GCmQwNr0,MIND
COSMIC LAW,https://www.youtube.com/watch?v=l661_UFmPDc,MIND
STRANGE STORIES FOR YOUR HEAD,https://www.youtube.com/watch?v=r_951Qs1qC8,MIND
TORNADOS OF THE MIND,https://www.youtube.com/watch?v=yOI8cEqBkHk,MIND
ELVIS HAS NOT LEFT THE BUILDING,https://www.youtube.com/watch?v=TcmcBcjtqYw,MIND
MIND POWER,https://www.youtube.com/watch?v=ANF3l4qm1AI,MIND
CROSS OF THE MIND,https://www.youtube.com/watch?v=5FshyZmw4kE,MIND
A NEW YOU PART 1,https://www.youtube.com/watch?v=CNWPA9fiEo4,MIND
A NEW YOU PART 2,https://www.youtube.com/watch?v=3-wMZt4dTJM,MIND
LET'S GO TO WAR,https://www.youtube.com/watch?v=8kENM6M0ZKk,MIND
GARBAGE PILES UP,https://www.youtube.com/watch?v=ajV2TwSP7Q4,MIND
THE CITY IS OPEN,https://www.youtube.com/watch?v=adWUt_KQr6Y,MIND
MIND CHANGE AND OM,https://www.youtube.com/watch?v=YA-bDzudYfM,MIND
VOICES IN A WET HEAD,https://www.youtube.com/watch?v=wlJu9KewUY8,MIND
STRANGE VOICES IN OUR HEAD,https://www.youtube.com/watch?v=pWW3P6LDsWM,MIND
YOUR SUCCESS DOOR IS LOCKED,https://www.youtube.com/watch?v=ZwWy5iJFEcg,MIND
COLLECTIVE MIND,https://www.youtube.com/watch?v=dQ2bYZoqAgs,MIND
WHAT IS REALITY ?,https://www.youtube.com/watch?v=Hg4S9mdgbJE,MIND
LIGHT ME UP,https://www.youtube.com/watch?v=liGKDiLwb_g,MIND
WHO ARE YOU ?,https://www.youtube.com/watch?v=dILaTFJF7BI,MIND
DARK MOTHER,https://www.youtube.com/watch?v=SE-EaP1rjv0,MIND
STRANGE STORIES FOR YOUR MIND,https://www.youtube.com/watch?v=aePD4wEynKA,MIND
STOKE THE BRAIN FURNACE,https://www.youtube.com/watch?v=yoZUd_WmMw0,MIND
SOUND OF MUSIC,https://www.youtube.com/watch?v=2nEEnCOhiDk,MUSIC
MONSTER EATS HIS CHILDREN,https://www.youtube.com/watch?v=4tzr1e8ZS8w,MYTHOLOGY
JESUS TWIN MITHRA,https://www.youtube.com/watch?v=qBNKS5IftHo,MYTHOLOGY
HEY ZEUS,https://www.youtube.com/watch?v=Jkdl8UnNKu0,MYTHOLOGY
PLATO: WHAT IS TRUTH? ASK PLATO,https://www.youtube.com/watch?v=-E4pwKitN3U,MYTHOLOGY
RELIGION TAKES MYTHOLOGY LITERALLY,https://www.youtube.com/watch?v=Kon_S3Af9Bc,MYTHOLOGY
BIG FIN HALF MAN HALF FISH,https://www.youtube.com/watch?v=RU7TWKsWH-8,MYTHOLOGY
GODS OF MYTHOLOGY,https://www.youtube.com/watch?v=ojOclV_lJ0k,MYTHOLOGY
KEY AND THE FIREBIRD,https://www.youtube.com/watch?v=h7f-vlSiaJE,MYTHOLOGY
PLATO: CHAINED TO A DARK WALL,https://www.youtube.com/watch?v=dM8f2aZA6xA,MYTHOLOGY
NARCISSUS AND ECHO,https://www.youtube.com/watch?v=W31aLAzkEQo,MYTHOLOGY
PHOENIX,https://www.youtube.com/watch?v=iuxHMANN1B8,MYTHOLOGY
CHARONS BOAT HAS LEFT,https://www.youtube.com/watch?v=UP2SCgEsapw,MYTHOLOGY
ALICE IN MUSHROOMLAND,https://www.youtube.com/watch?v=6zfg50gzzfU,MYTHOLOGY
